FisheryID,FisheryName,Source,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Action
89,EJDF FWSpt,FRAM,,,,,,,,,,,0,Remove  fishery
89,EJDF FWSpt,RMIS,,,20,,,,,,,,20,Remove  fishery
89,EJDF FWSpt,Sampled,,,,,,,,,,,0,Remove  fishery
89,EJDF FWSpt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
90,WJDF FWSpt,FRAM,,,,,,,,,,,0,Remove  fishery
90,WJDF FWSpt,RMIS,2,,20,31,,9,,,,47,109,Remove  fishery
90,WJDF FWSpt,Sampled,,,,,,,,,,,0,Remove  fishery
90,WJDF FWSpt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
91,Area 5 Spt,FRAM,15679,18071,44496,34315,30800,27530,26,2755,14303,12254,200229,divide FRAM by RMIS
91,Area 5 Spt,RMIS,12959,28596,73163,40394,47287,56043,28,4879,22869,26057,312275,divide FRAM by RMIS
91,Area 5 Spt,Sampled,12959,28596,73124,40357,47287,55921,28,4879,22869,26004,312024,divide FRAM by RMIS
91,Area 5 Spt,Xpansion,1.21,0.63,0.61,0.85,0.65,0.49,0.93,0.56,0.63,0.47,,divide FRAM by RMIS
92,Area 6 Spt,FRAM,663,4067,10489,7409,15722,10842,0,75,5091,3550,57908,Remove years & standard adjustment
92,Area 6 Spt,RMIS,663,4070,11130,6415,15722,11814,86,75,5091,3542,58608,Remove years & standard adjustment
92,Area 6 Spt,Sampled,663,4039,11130,6405,15715,11776,12,75,5091,3533,58439,Remove years & standard adjustment
92,Area 6 Spt,Xpansion,1.00,1.01,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,,Remove years & standard adjustment
93,Area 7 Spt,FRAM,623,869,2182,2551,1969,3776,0,55,4764,5747,22536,Remove years & standard adjustment
93,Area 7 Spt,RMIS,623,865,2344,2182,1969,3678,19,55,4764,5775,22274,Remove years & standard adjustment
93,Area 7 Spt,Sampled,623,865,2344,2172,1969,3656,19,55,4764,5775,22242,Remove years & standard adjustment
93,Area 7 Spt,Xpansion,1.00,1.00,1.00,1.00,1.00,1.01,0.00,1.00,1.00,1.00,,Remove years & standard adjustment
94,Dung R Spt,FRAM,214,2136,893,1438,464,303,638,1030,212,639,7967,Remove  fishery
94,Dung R Spt,RMIS,233,2143,985,1089,464,331,793,1040,212,628,7918,Remove  fishery
94,Dung R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
94,Dung R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
95,ElwhaR Spt,FRAM,70,9,,,,,,,,,79,Remove  fishery
95,ElwhaR Spt,RMIS,76,9,,15,,18,,,,,118,Remove  fishery
95,ElwhaR Spt,Sampled,,,,,,,,,,,0,Remove  fishery
95,ElwhaR Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
97,7B-7D  Net,FRAM,70588,55300,44014,53447,18360,5793,33222,14199,30361,10893,336177,Combine fisheries 97 & 98
97,7B-7D  Net,RMIS,70629,71640,60667,93357,29460,15170,51833,29757,55344,28965,506822,Combine fisheries 97 & 98
97,7B-7D  Net,Sampled,67488,70970,60431,92254,29177,15083,51115,28259,52662,28694,496133,Combine fisheries 97 & 98
97,7B-7D  Net,Xpansion,1.07,1.01,1.00,1.01,1.01,1.01,1.01,1.05,1.05,1.01,,Combine fisheries 97 & 98
98,Nook R Net,FRAM,13363,16340,16597,39901,11068,9400,18636,15555,24857,18060,183777,Combine fisheries 97 & 98
98,Nook R Net,RMIS,13363,,,,,,,,,,13363,Combine fisheries 97 & 98
98,Nook R Net,Sampled,11023,,,,,,,,,,11023,Combine fisheries 97 & 98
98,Nook R Net,Xpansion,1.07,1.01,1.00,1.01,1.01,1.01,1.01,1.05,1.05,1.01,,Combine fisheries 97 & 98
99,Nook R Spt,FRAM,922,1336,2592,2164,887,2906,578,706,4480,2203,18774,Remove  fishery
99,Nook R Spt,RMIS,934,1372,2674,1801,923,2907,636,716,4529,2253,18745,Remove  fishery
99,Nook R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
99,Nook R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
100,Samh R Spt,FRAM,,,,,,,,,,,0,Remove  fishery
100,Samh R Spt,RMIS,360,332,178,1021,208,297,224,204,232,272,3328,Remove  fishery
100,Samh R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
100,Samh R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
102,Area 8 Net,FRAM,1431,523,1261,3421,838,306,133,,208,16,8137,Remove years & standard adjustment
102,Area 8 Net,RMIS,1431,523,1275,3421,838,345,133,,208,16,8190,Remove years & standard adjustment
102,Area 8 Net,Sampled,1318,348,1033,3380,415,311,132,,,,6937,Remove years & standard adjustment
102,Area 8 Net,Xpansion,1.09,1.50,1.23,1.01,2.02,1.11,1.01,0.00,0.00,0.00,,Remove years & standard adjustment
103,Skag R Net,FRAM,21995,20118,16930,21428,11986,2370,4408,26,11715,3932,114908,Remove  fishery
103,Skag R Net,RMIS,23669,21460,18352,23526,13571,2757,5480,1044,13059,4530,127448,Remove  fishery
103,Skag R Net,Sampled,23302,21225,18341,23490,13548,2756,5407,1042,12959,4421,126491,Remove  fishery
103,Skag R Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
104,SkgR TsNet,FRAM,1658,1152,1388,2001,1447,338,1030,1018,1355,597,11984,Remove  fishery
104,SkgR TsNet,RMIS,,,,,,,,,,,0,Remove  fishery
104,SkgR TsNet,Sampled,,,,,,,,,,,0,Remove  fishery
104,SkgR TsNet,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
106,Ar 8-1 Spt,FRAM,109,995,2205,3092,3577,4303,0,0,1182,2099,17562,Remove years & standard adjustment
106,Ar 8-1 Spt,RMIS,109,996,2348,2574,3577,4336,,,1190,2099,17229,Remove years & standard adjustment
106,Ar 8-1 Spt,Sampled,109,994,2341,2569,3570,4283,,,1190,2099,17155,Remove years & standard adjustment
106,Ar 8-1 Spt,Xpansion,1.00,1.00,1.00,0.00,1.00,1.01,0.00,0.00,1.00,1.00,,Remove years & standard adjustment
107,Area 9 Spt,FRAM,2169,12780,44749,38522,31614,45636,22,4185,6114,7449,193240,Remove years & standard adjustment
107,Area 9 Spt,RMIS,2169,16361,47951,32647,31614,45893,22,4185,6114,7815,194771,Remove years & standard adjustment
107,Area 9 Spt,Sampled,2164,16361,47931,32612,31614,45697,22,4151,6103,7770,194425,Remove years & standard adjustment
107,Area 9 Spt,Xpansion,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.01,1.00,1.01,,Remove years & standard adjustment
108,Skag R Spt,FRAM,2784,5993,6172,13952,3672,2603,3446,,4080,7144,49846,Remove  fishery
108,Skag R Spt,RMIS,2814,6059,6574,11908,3737,2631,3465,,4206,7287,48681,Remove  fishery
108,Skag R Spt,Sampled,355,,,,,,,,,,355,Remove  fishery
108,Skag R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
110,Ar8A Net,FRAM,1565,10958,15548,17717,9507,1837,1,1205,10196,1642,70176,Remove years & standard adjustment
110,Ar8A Net,RMIS,1582,10959,14375,17715,9519,2650,132,1205,10196,1642,69975,Remove years & standard adjustment
110,Ar8A Net,Sampled,1582,10937,13840,17696,5719,788,124,787,10196,240,61909,Remove years & standard adjustment
110,Ar8A Net,Xpansion,1.00,1.00,1.04,1.00,1.66,0.00,0.00,1.53,1.00,6.84,,Remove years & standard adjustment
112,Ar8D Net,FRAM,249,8867,39978,35860,37012,6449,77195,44338,15681,3509,269138,Remove years & standard adjustment
112,Ar8D Net,RMIS,275,8867,41309,36139,36789,5622,77370,44341,15681,3487,269880,Remove years & standard adjustment
112,Ar8D Net,Sampled,204,8641,41294,35620,36550,5203,73954,44330,14755,1242,261793,Remove years & standard adjustment
112,Ar8D Net,Xpansion,1.35,1.03,1.00,1.01,1.01,0.00,1.05,1.00,1.06,2.81,,Remove years & standard adjustment
113,Stil R Net,FRAM,136,1736,1599,497,408,88,,14,112,96.999999,4687,Remove  fishery
113,Stil R Net,RMIS,136,1796,1599,994,408,,,14,112,97,5156,Remove  fishery
113,Stil R Net,Sampled,,951,451,586,89,,,,,,2077,Remove  fishery
113,Stil R Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
114,Snoh R Net,FRAM,,,,,,,,,,,0,Remove  fishery
114,Snoh R Net,RMIS,,,7,7,,,,,,,14,Remove  fishery
114,Snoh R Net,Sampled,,,,,,,,,,,0,Remove  fishery
114,Snoh R Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
115,Ar 8-2 Spt,FRAM,592,4854,13131,10275,8969,8128,32,181,9743,548,56453,Remove years & standard adjustment
115,Ar 8-2 Spt,RMIS,592,4853,13802,8836,8969,8108,32,181,9750,557,55680,Remove years & standard adjustment
115,Ar 8-2 Spt,Sampled,592,4853,13775,8836,8965,8108,32,181,9674,548,55564,Remove years & standard adjustment
115,Ar 8-2 Spt,Xpansion,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.01,1.02,,Remove years & standard adjustment
116,Stil R Spt,FRAM,341,1651,1220,2646,214,347,,0,,932,7351,Remove  fishery
116,Stil R Spt,RMIS,341,1658,1225,2273,221,346,,,,933,6997,Remove  fishery
116,Stil R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
116,Stil R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
117,Snoh R Spt,FRAM,1564,7550,6901,16295,2539,3717,1194,2664,944,1638,45006,Remove  fishery
117,Snoh R Spt,RMIS,1588,7709,7054,13598,2596,3751,1231,2849,984,1681,43041,Remove  fishery
117,Snoh R Spt,Sampled,,,,,,,479,,,,479,Remove  fishery
117,Snoh R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
118,Ar 10  Spt,FRAM,2429,10925,21402,16344,12012,15946,77,20345,26298,28538,154316,Remove years & standard adjustment
118,Ar 10  Spt,RMIS,2429,14160,23672,15031,12012,16278,77,20345,26298,29339,159641,Remove years & standard adjustment
118,Ar 10  Spt,Sampled,2424,14104,23476,15015,11982,16270,35,20312,26298,29330,159246,Remove years & standard adjustment
118,Ar 10  Spt,Xpansion,1.00,0.00,0.00,1.00,1.00,1.00,2.20,1.00,1.00,1.00,,Remove years & standard adjustment
120,Ar10 Net,FRAM,69,434,3855,848,1306,293,1211,2458,2372,333,13179,Remove years & standard adjustment
120,Ar10 Net,RMIS,96,483,3895,940,391,126,1447,2701,2372,296,12747,Remove years & standard adjustment
120,Ar10 Net,Sampled,55,211,482,373,325,118,849,1690,39,109,4251,Remove years & standard adjustment
120,Ar10 Net,Xpansion,1.75,2.29,8.08,2.52,0.00,1.07,1.70,1.60,0.00,2.72,,Remove years & standard adjustment
122,A10A Net,FRAM,204,223,2159,2421,1187,2,851,1900,2464,637,12048,Remove years & standard adjustment
122,A10A Net,RMIS,204,255,2159,2421,1348,2,963,1934,2465,637,12388,Remove years & standard adjustment
122,A10A Net,Sampled,173,221,2099,1585,1342,,894,1896,2285,474,10969,Remove years & standard adjustment
122,A10A Net,Xpansion,1.18,1.15,1.03,1.53,1.00,0.00,1.08,1.02,1.08,1.34,,Remove years & standard adjustment
124,A10E Net,FRAM,22,1066,854,1740,482,9,3251,539,4,61,8028,Remove years & standard adjustment
124,A10E Net,RMIS,23,1089,854,1761,290,,3386,539,4,61,8007,Remove years & standard adjustment
124,A10E Net,Sampled,1,1080,539,1687,290,,3380,285,4,,7266,Remove years & standard adjustment
124,A10E Net,Xpansion,0.00,1.01,1.58,1.04,1.00,0.00,1.00,1.89,0.00,0.00,,Remove years & standard adjustment
125,10F-G  Net,FRAM,55,513,4000,3531,3440,108,6989,4830,1698,2659,27823,Remove years & standard adjustment
125,10F-G  Net,RMIS,55,493,3964,3540,3440,121,7030,4859,1744,2659,27905,Remove years & standard adjustment
125,10F-G  Net,Sampled,,487,3964,3540,3273,121,6678,4859,1744,457,25123,Remove years & standard adjustment
125,10F-G  Net,Xpansion,0.00,1.01,1.00,1.00,1.05,1.00,1.05,1.00,1.00,5.82,,Remove years & standard adjustment
126,Duwm R Net,FRAM,15903,25705,45864,45514,28770,228,24970,14320,40751,6120,248145,Remove  fishery
126,Duwm R Net,RMIS,16056,25965,45864,45567,28770,475,25198,14354,40751,6129,249129,Remove  fishery
126,Duwm R Net,Sampled,15320,25910,42367,43516,27847,473,25014,11866,39108,16,231437,Remove  fishery
126,Duwm R Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
127,Duwm R Spt,FRAM,885,2479,4163,4228,2108,2232,1750,1290,2042,3057,24234,Remove  fishery
127,Duwm R Spt,RMIS,941,2816,4683,3635,2521,2581,2183,1513,2167,3944,26984,Remove  fishery
127,Duwm R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
127,Duwm R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
128,L WaSm Spt,FRAM,6,121,141,149,758,132,694,542,301,604,3448,Remove  fishery
128,L WaSm Spt,RMIS,6,121,160,125,758,152,771,562,311,638,3604,Remove  fishery
128,L WaSm Spt,Sampled,,,,,,,771,,,,771,Remove  fishery
128,L WaSm Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
129,Ar 11  Spt,FRAM,326,1506,7056,1276,1436,1525,73,3409,5467,2508,24582,Remove years & standard adjustment
129,Ar 11  Spt,RMIS,326,2708,9290,1212,1436,3140,73,3409,5467,3026,30087,Remove years & standard adjustment
129,Ar 11  Spt,Sampled,319,2702,9290,1212,1436,3140,58,3409,5467,3017,30050,Remove years & standard adjustment
129,Ar 11  Spt,Xpansion,1.02,0.00,0.00,1.00,1.00,0.00,1.26,1.00,1.00,0.00,,Remove years & standard adjustment
131,Ar11 Net,FRAM,1,16,27,241,138,33,76,338,308,,1178,Remove  fishery
131,Ar11 Net,RMIS,1,78,30,296,248,34,76,338,309,,1410,Remove  fishery
131,Ar11 Net,Sampled,,2,8,,101,30,,,2,,143,Remove  fishery
131,Ar11 Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
133,A11A Net,FRAM,,24,,,,,,,,,24,Remove  fishery
133,A11A Net,RMIS,,24,,,,,,,,,24,Remove  fishery
133,A11A Net,Sampled,,,,,,,,,,,0,Remove  fishery
133,A11A Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
134,Puyl R Net,FRAM,3039,5658,11135,9577,9320,1778,58,6247,17301,8526,72639,Remove  fishery
134,Puyl R Net,RMIS,3039,5658,11216,9604,9634,1778,64,6256,17304,8526,73079,Remove  fishery
134,Puyl R Net,Sampled,2630,5389,10303,8745,9429,1592,6,5263,17301,7469,68127,Remove  fishery
134,Puyl R Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
135,Puyl R Spt,FRAM,671,10229,8133,20662,4330,3755,26,4232,4739,6027,62804,Remove  fishery
135,Puyl R Spt,RMIS,719,11252,8486,18487,4711,4510,26,4870,5122,9617,67800,Remove  fishery
135,Puyl R Spt,Sampled,171,,,,,,,,,,171,Remove  fishery
135,Puyl R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
136,Ar 13  Spt,FRAM,91,222,732,152,106,213,538,887,644,504,4089,Standard adjustment
136,Ar 13  Spt,RMIS,101,222,895,218,106,213,614,887,644,504,4404,Standard adjustment
136,Ar 13  Spt,Sampled,76,210,854,180,106,213,614,879,594,504,4230,Standard adjustment
136,Ar 13  Spt,Xpansion,1.33,1.06,1.05,1.21,1.00,1.00,1.00,1.01,1.08,1.00,,Standard adjustment
138,Ar13 Net,FRAM,3,111,36,85,,,,85,507,,827,Remove  fishery
138,Ar13 Net,RMIS,87,,,37,,,73,226,,,423,Remove  fishery
138,Ar13 Net,Sampled,87,,,,,,73,226,,,386,Remove  fishery
138,Ar13 Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
140,A13C Net,FRAM,,,,,,,,,,,0,Remove  fishery
140,A13C Net,RMIS,7,113,36,90,,,,85,507,,838,Remove  fishery
140,A13C Net,Sampled,7,12,,42,,,,,,,61,Remove  fishery
140,A13C Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
142,A13A Net,FRAM,868,1560,2396,404,166,1,142,914,1025,183,7659,Remove years & standard adjustment
142,A13A Net,RMIS,875,1560,2396,425,166,1,142,914,1048,183,7710,Remove years & standard adjustment
142,A13A Net,Sampled,289,649,2031,401,,1,,,10,,3381,Remove years & standard adjustment
142,A13A Net,Xpansion,3.03,2.40,1.18,1.06,0.00,0.00,0.00,0.00,0.00,0.00,,Remove years & standard adjustment
144,A13D Net,FRAM,2722,4683,54046,17193,8427,7951,38726,37579,41028,23890,236245,Standard adjustment
144,A13D Net,RMIS,2722,4683,54046,17884,8370,7951,38430,37579,41028,23890,236583,Standard adjustment
144,A13D Net,Sampled,1887,3572,48734,17613,6028,7203,38017,37141,40207,23641,224043,Standard adjustment
144,A13D Net,Xpansion,1.44,1.31,1.11,1.02,1.39,1.10,1.01,1.01,1.02,1.01,,Standard adjustment
146,13FK Net,FRAM,4,55,450.000011,61,155,70,458,689,190,46,2178,Remove  fishery
146,13FK Net,RMIS,4,55,450,24,155,70,523,742,197,46,2266,Remove  fishery
146,13FK Net,Sampled,,,35,,,,421,59,94,,609,Remove  fishery
146,13FK Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
147,Nisq R Net,FRAM,3437,2630,8347,3643,2500,881,1059,4105,1227,386,28215,Remove  fishery
147,Nisq R Net,RMIS,3437,2630,8347,3553,2595,994,1067,4105,1227,401,28356,Remove  fishery
147,Nisq R Net,Sampled,3428,2562,8219,3382,2595,960,999,4094,1164,267,27670,Remove  fishery
147,Nisq R Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
148,McAlls Net,FRAM,,,,,,,,,7,,7,Remove  fishery
148,McAlls Net,RMIS,,,,,,,,,7,,7,Remove  fishery
148,McAlls Net,Sampled,,,,,,,,,,,0,Remove  fishery
148,McAlls Net,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
149,13D-K TSpt,FRAM,,,,,,,,,,,0,Remove  fishery
149,13D-K TSpt,RMIS,,,65,,,,,,175,719,959,Remove  fishery
149,13D-K TSpt,Sampled,,,,,,,,,,,0,Remove  fishery
149,13D-K TSpt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
150,Nisq R Spt,FRAM,799,894,4000,1681,621,315,10,3944,10,803,13077,Remove  fishery
150,Nisq R Spt,RMIS,938,1117,4375,1576,684,540,20,4528,29,1129,14936,Remove  fishery
150,Nisq R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
150,Nisq R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
151,Desc R Spt,FRAM,,,,,,,,,,,0,Remove  fishery
151,Desc R Spt,RMIS,,,4,,,,,,,,4,Remove  fishery
151,Desc R Spt,Sampled,,,,,,,,,,,0,Remove  fishery
151,Desc R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
152,Ar 12  Spt,FRAM,329,3195,2034,2419,1493,1147,4037,2419,645,1320,19038,Remove years & standard adjustment
152,Ar 12  Spt,RMIS,329,3183,2036,1634,1493,1155,4037,2419,645,1322,18253,Remove years & standard adjustment
152,Ar 12  Spt,Sampled,48,,309,1634,241,257,4037,2419,640,1313,10898,Remove years & standard adjustment
152,Ar 12  Spt,Xpansion,6.85,0.00,6.59,0.00,6.20,4.49,1.00,1.00,1.01,1.01,,Remove years & standard adjustment
154,A1212B Net,FRAM,5220,15047,24239,10869,11904,3958,5643,6607,5628,1688,90803,Remove years & standard adjustment
154,A1212B Net,RMIS,5395,14895,24284,10874,11934,4099,6327,6757,5689,1691,91945,Remove years & standard adjustment
154,A1212B Net,Sampled,2595,11041,16215,9177,11413,3724,5648,6720,5113,1526,73172,Remove years & standard adjustment
154,A1212B Net,Xpansion,2.08,1.35,1.50,1.18,1.05,1.10,0.00,1.01,1.11,1.11,,Remove years & standard adjustment
156,Ar9-9A Net,FRAM,4804,15311,18115,8317,3917,554,21096,7294,444,280,80132,Standard adjustment
156,Ar9-9A Net,RMIS,4749,15318,18338,8367,4050,553,21180,7147,440,317,80459,Standard adjustment
156,Ar9-9A Net,Sampled,3685,12906,17601,8175,3344,275,19471,5737,134,91,71419,Standard adjustment
156,Ar9-9A Net,Xpansion,1.29,1.19,1.04,1.02,1.21,2.01,1.09,1.25,3.28,3.48,,Standard adjustment
158,Ar 12A Net,FRAM,5198,5258,9059,9019,873,641,12226,8234,6305,719,57532,Standard adjustment
158,Ar 12A Net,RMIS,5214,5258,9059,9019,873,641,12441,8319,6305,719,57848,Standard adjustment
158,Ar 12A Net,Sampled,4402,4353,7610,8422,669,641,12340,8301,3328,636,50702,Standard adjustment
158,Ar 12A Net,Xpansion,1.18,1.21,1.19,1.07,1.30,1.00,1.01,1.00,1.89,1.13,,Standard adjustment
160,12CD Net,FRAM,7131,13101,15889,6501,11301,892,6065,4949,7953,3522,77304,Standard adjustment
160,12CD Net,RMIS,7133,13101,15898,6494,11301,904,6086,5057,7965,3444,77383,Standard adjustment
160,12CD Net,Sampled,5316,10330,12904,4898,9901,733,5353,4695,5534,3216,62880,Standard adjustment
160,12CD Net,Xpansion,1.34,1.27,1.23,1.33,1.14,1.23,1.14,1.08,1.44,1.07,,Standard adjustment
161,Skok R Net,FRAM,1796,6310,11802,4273,3981,596,2493,3361,3034,1246,38892,Standard adjustment
161,Skok R Net,RMIS,1788,6311,11800,4294,3951,596,2480,3342,3055,1246,38863,Standard adjustment
161,Skok R Net,Sampled,1232,2853,3530,2369,3751,107,2154,3018,2736,1020,22770,Standard adjustment
161,Skok R Net,Xpansion,1.45,2.21,3.34,1.81,1.05,5.57,1.15,1.11,1.12,1.22,,Standard adjustment
162,Quilcn Net,FRAM,10,20062,14652,5451,479,2112,5706,13045,12472,748,74737,Remove years & standard adjustment
162,Quilcn Net,RMIS,12,20062,14652,5451,453,2112,5758,12995,12710,748,74953,Remove years & standard adjustment
162,Quilcn Net,Sampled,12,13722,14475,4783,,2067,5367,9243,11370,674,61713,Remove years & standard adjustment
162,Quilcn Net,Xpansion,0.00,1.46,1.01,1.14,0.00,1.02,1.07,1.41,1.12,1.11,,Remove years & standard adjustment
163,1212B TSpt,FRAM,,,,,,,,,,,0,Remove  fishery
163,1212B TSpt,RMIS,,,,,,,,,,,0,Remove  fishery
163,1212B TSpt,Sampled,,,,,,,,,,,0,Remove  fishery
163,1212B TSpt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
164,12A Tb Spt,FRAM,339,5208,6036,2819,1231,728,3077,2229,2550,1533,25750,Remove  fishery
164,12A Tb Spt,RMIS,446,5237,6422,2298,1231,746,3246,2249,2560,1665,26100,Remove  fishery
164,12A Tb Spt,Sampled,,,,,,,,,,,0,Remove  fishery
164,12A Tb Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
165,12C-D TSpt,FRAM,,,,,,,,,,,0,Remove  fishery
165,12C-D TSpt,RMIS,,361,1314,293,283,184,63,265,2,12,2777,Remove  fishery
165,12C-D TSpt,Sampled,,,,,,,,,,,0,Remove  fishery
165,12C-D TSpt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
166,Skok R Spt,FRAM,487,2004,1843,2057,508,1276,,,1,,8176,Remove  fishery
166,Skok R Spt,RMIS,546,2111,1874,1889,542,1638,,,1,,8601,Remove  fishery
166,Skok R Spt,Sampled,,1643,,,,,,,,,1643,Remove  fishery
166,Skok R Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
167,FRSLOW Trm,FRAM,0,0,0,0,0,5276,0,3006,1032,554,9868,Remove  fishery
167,FRSLOW Trm,RMIS,,,,,,,,,,,0,Remove  fishery
167,FRSLOW Trm,Sampled,,,,,,,,,,,0,Remove  fishery
167,FRSLOW Trm,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
168,FRSUPP Trm,FRAM,0,0,0,0,0,748,0,445,962,261,2416,Remove  fishery
168,FRSUPP Trm,RMIS,,,,,,,,,,,0,Remove  fishery
168,FRSUPP Trm,Sampled,,,,,,,,,,,0,Remove  fishery
168,FRSUPP Trm,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
169,Fraser Spt,FRAM,,,,,,,,1347,622,,1969,Remove  fishery
169,Fraser Spt,RMIS,,,,,,,,,,,0,Remove  fishery
169,Fraser Spt,Sampled,,,,,,,,,,,0,Remove  fishery
169,Fraser Spt,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
170,JStrBC Trl,FRAM,0,0,0,0,6,0,0,,,,6,Remove  fishery
170,JStrBC Trl,RMIS,,,,,,,,,,,0,Remove  fishery
170,JStrBC Trl,Sampled,,,,,,,,,,,0,Remove  fishery
170,JStrBC Trl,Xpansion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Remove  fishery
171,No BC  Trl,FRAM,138295,280715,215452,378187,177461,255675,214610,337666,176547,177189,2351797,Standard adjustment
171,No BC  Trl,RMIS,138295,280715,215452,378187,177461,255675,214610,333175,176547,177189,2347306,Standard adjustment
171,No BC  Trl,Sampled,138198,279532,211827,378133,170307,255302,214447,333175,176547,177180,2334648,Standard adjustment
171,No BC  Trl,Xpansion,1.00,1.00,1.02,1.00,1.04,1.00,1.00,1.00,1.00,1.00,,Standard adjustment
172,NoC BC Trl,FRAM,,15932,,21121,0,4343,4343,6486,367,2388,54980,Remove years & standard adjustment
172,NoC BC Trl,RMIS,,15932,1,21121,,,4343,6468,367,2388,50620,Remove years & standard adjustment
172,NoC BC Trl,Sampled,,15476,,15914,,,4303,6468,41,2327,44529,Remove years & standard adjustment
172,NoC BC Trl,Xpansion,0.00,1.03,0.00,1.33,0.00,0.00,1.01,1.00,8.95,1.03,,Remove years & standard adjustment
173,SoC BC Trl,FRAM,,0,,,,,,,,,0,Remove  fishery
173,SoC BC Trl,RMIS,,,,,2,,,,,,2,Remove  fishery
173,SoC BC Trl,Sampled,,,,,,,,,,,0,Remove  fishery
